MEDIA_CN;MEDIA_CH;MEDIA_LP;MEDIA_MT;MEDIA_RED;TIPO;INSE
461.45;536.44;489.08;428.43;515.32;2;1
457.68;538.33;482.36;430.68;561.71;1;1
456.62;520.66;454.55;457.03;488.00;1;1
480.55;558.8;513.05;464.05;559.36;2;1
452.17;531.8;483.5;426.72;526.39;2;1
437.69;517.87;444.39;397.27;476.48;2;1
422.36;489.93;433.51;390.8;442.60;2;1
459.7;583.24;529.98;473.71;526.67;1;1
502.47;577.14;533.98;487.22;595.20;1;1
516.79;595.08;529.01;499.67;622.74;1;1
457.84;536.83;479.61;449.03;524.71;2;1
444.3;532.39;472.97;425.29;506.49;2;1
523.87;588.81;532.79;529.12;622.14;1;2
516.15;606.71;541.04;531.11;615.71;1;1
455.95;520.99;475.89;409.88;530.00;1;1
517.12;581.91;523.5;492.05;622.96;1;1
568.24;631.47;558.97;627.96;811.20;1;2
501.39;583.6;519.21;467.95;667.00;1;1
490.57;597.9;528.31;466.33;601.82;1;2
491.33;582.29;527.69;474.17;583.00;1;1
500.13;585.63;531.84;481.19;628.57;1;1
465.3;561.33;517.4;456.92;572.50;1;1
528.21;616.06;551.19;559.54;668.86;1;2
482.67;570.99;525.06;466.61;606.81;1;1
525.81;579.77;525.47;474.24;625.45;1;1
505.22;587.28;535.04;466.85;599.20;1;1
512.13;566.87;507.09;490.75;576.84;1;1
589.37;652.29;583.54;617.74;772.38;1;2
531.69;616.96;558.03;550.11;661.14;1;1
496.82;574.58;523.36;473.65;653.79;1;1
543;601.72;544.38;520.11;631.11;1;1
491.92;564.24;514.56;479.05;567.22;1;1
475.14;568.94;504.2;467.1;552.00;1;1
517.69;583.49;518;493.98;580.71;1;2
577.52;663.88;581.33;631.32;852.31;1;1
530.61;607.28;564.85;533.71;658.75;1;1
531.75;614.58;564.39;527.38;670.81;1;1
468.78;578.38;507.09;479.2;582.86;1;1
488.13;569.53;485.71;463.72;585.13;1;1
576.48;652.73;584.17;614.13;778.50;1;2
619.02;670.89;592.47;663.96;817.23;1;2
555.93;628.62;560.85;575.31;699.74;1;2
553.94;638.48;560.14;555.08;784.62;1;2
532.9;612.29;546.09;558.2;668.42;1;1
540.11;617.8;553.9;543.14;702.32;1;2
504.46;584.24;521.11;502.22;625.07;1;1
529.55;605.86;551.69;544.96;692.14;1;2
514.12;595.17;538.35;488.64;649.60;1;1
520.04;599.59;552.2;505.54;642.40;1;1
523.08;584.67;522.38;505.54;638.28;1;1
568.16;633.9;568.65;591.45;737.27;1;2
493.58;593.41;523.06;489.4;589.38;2;1
575.62;635.57;565.89;558.06;790.65;1;1
521.95;581.89;527.33;488.16;620.86;1;1
513.72;598.57;526.47;502.28;651.24;1;1
514.35;588.59;525.05;494.56;639.65;1;1
578.98;656.84;578.17;617.12;772.55;1;2
506;564.8;508.99;466.63;567.59;1;1
505.2;574.45;530.63;484.82;613.73;1;1
477.9;581.93;526.6;449.3;552.73;2;1
519.15;599.02;561.65;513.12;683.08;1;1
522.54;603.49;544.44;511.22;659.16;1;1
483.29;560.66;504.5;448.38;544.55;1;1
489.5;559.69;502.64;459.77;548.86;1;1
530.92;601.16;520.16;562.97;601.67;1;1
450.9;545.6;494.93;436.84;542.78;2;1
459.67;540.61;497.2;437.4;528.41;2;1
510.19;582.85;532.79;485.18;646.97;1;1
515.99;601.21;539.66;502.72;629.77;1;1
458.12;542.29;498.82;433.88;523.33;1;1
451.3;535.16;487.18;429.9;523.72;2;1
481.81;559.34;507.72;462.31;554.71;2;1
460.86;538.81;493.05;442.24;565.78;2;1
449.68;552.99;488.22;421.72;572.77;2;1
454.44;520.24;476.91;432.57;478.54;2;1
477.92;547.22;500.93;425.72;517.08;2;1
458.83;539.25;493.48;434.43;510.91;2;1
464.61;538.46;497.58;425.76;542.22;2;1
457.51;529.58;470.03;433.71;508.00;2;1
442.65;524.17;476.04;428.94;482.89;2;1
449.22;534.25;483.11;436.6;504.35;2;1
457.51;542.83;481.47;430.84;536.49;2;1
